Operational unit,Unit code,Internal cost code,CIPFA expenses type,Transaction date,Transaction number,Net amount,Supplier name,Supplier ID
Didcot Growth Point Team,CA02,Consultants-Projects,Supplies & Services,2015-08-04,1004086,9025,16162,GL Hearn
Didcot Growth Point Team,CA02,Consultants-Projects,Supplies & Services,13/04/2015,623150,3290.98,16162,GL Hearn
Didcot Growth Point Team,CA02,Consultants-Projects,Supplies & Services,13/04/2015,623151,54334.62,16162,GL Hearn
Didcot Growth Point Team,CA02,Consultants-Projects,Supplies & Services,20/05/2015,623442,23050,16162,GL Hearn
Didcot Growth Point Team,CA02,Consultants-Projects,Supplies & Services,29/04/2015,1004198,8910,16162,GL Hearn
Didcot Growth Point Team,CA02,Consultants-Projects,Supplies & Services,29/04/2015,1004199,1660,16162,GL Hearn
Didcot Growth Point Team,CA02,Consultants-Projects,Supplies & Services,20/05/2015,1004295,7500,16162,GL Hearn
Didcot Growth Point Team,CA02,Consultants-Projects,Supplies & Services,19/05/2015,1004291,11900,16162,GL Hearn
Big Move,BM01,Other expenses,Supplies & Services,2015-10-06,623566,283498.84,16164,PH Jones Ltd
Didcot Arts Centre,AR04,Publicity and promotion costs,Supplies & Services,2015-12-06,623588,875,16172,Chloe Tigwell
Didcot Arts Centre,AR04,Publicity and promotion costs,Supplies & Services,2015-06-05,623256,1250,16172,Chloe Tigwell
Didcot Arts Centre,AR04,Publicity and promotion costs,Supplies & Services,2015-01-04,622991,5870,16176,Purple Seven Limited
Procurement,CB02,Software support and maintenance,Supplies & Services,2015-01-04,623040,4200,16177,Due North
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,18/05/2015,1004285,900,16183,Peter Knights Gigspanner
Procurement,CB02,Agency staff,Employees,24/06/2015,1004442,1150,16184,Procurement People Recruitment Ltd
Central Planning Vale Recharges,PA10,Agency staff,Employees,22/04/2015,3035329,661.5,16186,Matchtech
DC - Vale Recharges,DN10,Agency staff,Employees,2015-11-05,3035452,732.6,16186,Matchtech
DC - Vale Recharges,DN10,Agency staff,Employees,2015-11-05,3035453,735.57,16186,Matchtech
DC - Vale Recharges,DN10,Agency staff,Employees,2015-11-05,3035456,816.75,16186,Matchtech
DC - Vale Recharges,DN10,Agency staff,Employees,2015-11-05,3035459,742.5,16186,Matchtech
DC - Vale Recharges,DN10,Agency staff,Employees,2015-11-05,3035460,732.6,16186,Matchtech
Policy Team,PP01,Agency staff,Employees,2015-12-05,3035454,1480,16186,Matchtech
Policy Team,PP01,Agency staff,Employees,2015-12-05,3035455,1480,16186,Matchtech
Policy Team,PP01,Agency staff,Employees,2015-12-05,3035457,1480,16186,Matchtech
Policy Team,PP01,Agency staff,Employees,2015-12-05,3035458,1480,16186,Matchtech
Replacement Equipment,AC89,Consultation costs,Supplies & Services,20/05/2015,623402,811,16187,PCE Instruments UK Ltd
Replacement Equipment,AC89,Purchase of equipment,Supplies & Services,2015-01-04,623004,3180,16188,CLIKAPAD LIMITED
Car Park Operations,CP99,Repairs and maintenance to land and buildings,Premises,13/04/2015,623120,1383,16193,South West Works
Car Park Operations,CP99,Repairs and maintenance to land and buildings,Premises,13/04/2015,623118,1410,16193,South West Works
Car Park Operations,CP99,Repairs and maintenance to land and buildings,Premises,13/04/2015,623119,3575,16193,South West Works
Car Park Operations,CP99,Repairs and maintenance to land and buildings,Premises,2015-08-04,1004085,1383,16193,South West Works
Car Park Operations,CP99,Repairs and maintenance to land and buildings,Premises,2015-07-04,1004073,1213,16193,South West Works
Car Park Operations,CP99,Repairs and maintenance to land and buildings,Premises,2015-10-04,3035209,-1383,16193,South West Works
Car Park Operations,CP99,Repairs and maintenance to land and buildings,Premises,2015-11-05,1004264,1017.5,16193,South West Works
Car Park Operations,CP99,Repairs and maintenance to land and buildings,Premises,27/05/2015,1004318,3223,16193,South West Works
Business Continuity,AC88,Consultation costs,Supplies & Services,2015-11-06,1004380,2560,16193,South West Works
Cornerstone Capital Works,A242,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,27/04/2015,1004178,5948.58,16196,CEKA Office Furniture Systems Limited
Foxhall Manor Park,FM02,Repairs and maintenance to land and buildings,Premises,21/04/2015,1004153,2200,16197,Allen and Harris
Replacement Equipment,AC89,Consultation costs,Supplies & Services,2015-06-05,623238,32167.06,16200,Cirrus Research PLC
Parliamentary Election,J101,Hire of equipment,Appropriations and other non Cipfa Sub Group Accounts,2015-09-04,623169,10750,16201,Event Production Solutions Ltd
PC & Intelligent Terminals,CE10,Software purchase & licence,Supplies & Services,24/06/2015,623663,9500,16213,ProCheckUp Ltd
Parliamentary Election,J101,Stationery,Appropriations and other non Cipfa Sub Group Accounts,27/05/2015,623392,585.8,16215,Vending Solutions Ltd
Business Continuity,AC88,Consultation costs,Supplies & Services,2015-11-05,1004261,2100,16218,EZA Consulting
PC & Intelligent Terminals,CE10,Software support and maintenance,Supplies & Services,20/04/2015,623236,3660,16219,Surrey County Council
PC & Intelligent Terminals,CE10,Software support and maintenance,Supplies & Services,20/04/2015,623236,3660,16219,Surrey County Council
Policy Team,PP01,Consultants-Projects,Supplies & Services,13/04/2015,3035220,10920,16220,ARM Acoustics
Business Continuity,AC88,Consultation costs,Supplies & Services,22/05/2015,1004314,2961,16222,Client First Services Ltd
Business Continuity,AC88,Consultation costs,Supplies & Services,27/05/2015,623446,1660,16222,Client First Services Ltd
Leisure Centre - Capital Works,X155,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,29/04/2015,623295,16570,16226,Willmott Dixon Construction Limited
Replacement Equipment,AC89,Consultation costs,Supplies & Services,30/06/2015,623698,1449,16229,Triumph
Replacement Equipment,AC89,Consultation costs,Supplies & Services,22/06/2015,1004419,20526.1,16229,Triumph
Replacement Equipment,AC89,Consultation costs,Supplies & Services,22/06/2015,1004419,806.4,16229,Triumph
District & Parish elections,EL02,Stationery,Supplies & Services,2015-06-05,623311,819,16231,Signet Signs
Parliamentary Election,J101,Stationery,Appropriations and other non Cipfa Sub Group Accounts,2015-06-05,623311,819,16231,Signet Signs
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,2015-08-06,1004366,850,16232,Blunderbus Theatre Company
Commercial Sites,MP11,Fees and hired services,Supplies & Services,13/05/2015,3035392,1000,16235,Winckworth Sherwood
Business Continuity,AC88,Consultation costs,Supplies & Services,28/05/2015,3035560,6256,16236,Regus Management (UK) Limited
Business Continuity,AC88,Consultation costs,Supplies & Services,28/05/2015,3035560,3000,16236,Regus Management (UK) Limited
Business Continuity,AC88,Consultation costs,Supplies & Services,22/05/2015,1004310,185798,16237,GTA Interiors
Business Continuity,AC88,Consultation costs,Supplies & Services,24/06/2015,623665,179146.5,16237,GTA Interiors
Business Continuity,AC88,Consultation costs,Supplies & Services,2015-02-06,1004339,4085,16237,GTA Interiors
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,13/05/2015,3035493,6758.4,16241,Leedon Maintenance Contractors Ltd
PC & Intelligent Terminals,CE10,Computer Purchase of hardware,Supplies & Services,13/05/2015,1004275,2204.6,16242,Simply I.T. (GB) Ltd
Business Continuity,AC88,Consultation costs,Supplies & Services,20/05/2015,623398,8000,16246,Cirrustar Limited
Legal,LS01,Legal services,Supplies & Services,24/06/2015,623648,20169,16247,Tom Cosgrove
Legal,LS01,Legal services,Supplies & Services,30/06/2015,1004486,3000,16248,Amanda Tipples QC
Replacement Equipment,AC89,Consultation costs,Supplies & Services,27/05/2015,623452,707.5,16250,Snob & Lock
Science Vale - Recharges to Vale,SV01,Consultants-Projects,Supplies & Services,18/06/2015,1004414,10833.34,16251,PA Consulting Services Limited
Science Vale - Recharges to Vale,SV01,Consultants-Projects,Supplies & Services,2015-03-06,1004345,16250.01,16251,PA Consulting Services Limited
Facilities Management,FM01,Repairs and maintenance to land and buildings,Premises,2015-10-06,623549,563.07,16256,Action on Hearing Loss
Replacement Equipment,AC89,Consultation costs,Supplies & Services,2015-03-06,623482,9096.4,16258,Iron Mountain (UK) Ltd
Personnel Administration,AD02,Fees and hired services,Supplies & Services,29/05/2015,3035574,600,16262,One Temple Square
Flood Alleviation Schemes,A143,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,28/05/2015,3035565,14444.32,16264,Mr M J M Cox and Ms J Lynam
Legal,LS01,Legal services,Supplies & Services,22/06/2015,1004420,1500,16270,Matthew Reed
Development Management,DN01,Professional,Supplies & Services,30/06/2015,623723,16850,16271,Mark Westmoreland Smith
Development Management,DN01,Professional,Supplies & Services,16/06/2015,623608,1000,16271,Mark Westmoreland Smith
Business Continuity,AC88,Consultation costs,Supplies & Services,16/06/2015,623602,1345,16273,Pentalver Transport Ltd
Business Continuity,AC88,Consultation costs,Supplies & Services,16/06/2015,623602,1345,16273,Pentalver Transport Ltd
Business Continuity,AC88,Consultation costs,Supplies & Services,16/06/2015,623602,1345,16273,Pentalver Transport Ltd
Business Continuity,AC88,Consultation costs,Supplies & Services,16/06/2015,623602,2500,16273,Pentalver Transport Ltd
Business Continuity,AC88,Consultation costs,Supplies & Services,16/06/2015,623602,1345,16273,Pentalver Transport Ltd
General Expenses,AC03,Consultation costs,Supplies & Services,2015-09-06,623540,5000,16277,Mishcon de Reya
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2015-12-06,3035671,4649,16279,NKS Contracts (Central) Ltd
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,27/06/2015,1004451,1083.58,16285,Triangle Productions Ltd
Economic Development,ED00,Miscellaneous-Projects,Supplies & Services,22/06/2015,623650,1000,16294,Thame in Business
Rent Deposit Scheme,HM02,Loans To Clients,Supplies & Services,30/06/2015,3035793,850,16300,Mrs Caroline Thompson
Central Planning,PA01,Agency staff,Employees,15/06/2015,3035651,2018.51,99999,Sundry Supplier
Policy Team,PP01,Agency staff,Employees,30/06/2015,3035799,879.12,99999,Sundry Supplier
Policy Team,PP01,Agency staff,Employees,30/06/2015,3035800,700.92,99999,Sundry Supplier
Policy Team,PP01,Agency staff,Employees,30/06/2015,3035802,718.74,99999,Sundry Supplier
Policy Team,PP01,Agency staff,Employees,30/06/2015,3035797,881.02,99999,Sundry Supplier
Policy Team,PP01,Agency staff,Employees,30/06/2015,3035803,718.74,99999,Sundry Supplier
Policy Team,PP01,Agency staff,Employees,30/06/2015,3035804,896.94,99999,Sundry Supplier
Policy Team,PP01,Agency staff,Employees,30/06/2015,3035798,1776,99999,Sundry Supplier
Rent Deposit Scheme,HM02,Loans To Clients,Supplies & Services,2015-08-04,3035207,680,99999,Sundry Supplier
Rent Deposit Scheme,HM02,Loans To Clients,Supplies & Services,2015-01-06,3035570,1200,99999,Sundry Supplier
Rent Deposit Scheme,HM02,Compensation to third parties,Supplies & Services,2015-07-04,3035195,808.94,99999,Sundry Supplier
Rent Deposit Scheme,HM02,Compensation to third parties,Supplies & Services,2015-07-04,3035196,1200,99999,Sundry Supplier
Rent Deposit Scheme,HM02,Loans To Clients,Supplies & Services,2015-07-04,3035195,825.8,99999,Sundry Supplier
Rent Deposit Scheme,HM02,Loans To Clients,Supplies & Services,2015-07-04,3035197,895,99999,Sundry Supplier
Corporate Management Team,CA01,Hospitality,Supplies & Services,2015-08-04,3035205,757.54,99999,Sundry Supplier
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,14/04/2015,3035188,949.16,99999,Sundry Supplier
Rent Deposit Scheme,HM02,Compensation to third parties,Supplies & Services,14/04/2015,3035233,525,99999,Sundry Supplier
Rent Deposit Scheme,HM02,Loans To Clients,Supplies & Services,2015-06-05,3035402,3345,99999,Sundry Supplier
Rent Deposit Scheme,HM02,Loans To Clients,Supplies & Services,14/05/2015,3035500,720,99999,Sundry Supplier
Rent Deposit Scheme,HM02,Loans To Clients,Supplies & Services,21/05/2015,3035539,850,99999,Sundry Supplier
Rent Deposit Scheme,HM02,Compensation to third parties,Supplies & Services,15/06/2015,3035669,1146.09,99999,Sundry Supplier
Commercial Sites,MP11,Insurances Recouped,Income,23/06/2015,3035688,923,99999,Sundry Supplier
Chairmans Charity,X890,Miscellaneous Holding Account,Appropriations and other non Cipfa Sub Group Accounts,2015-08-04,3035204,3261.99,99999,Sundry Supplier
Chairmans Charity,X890,Miscellaneous Holding Account,Appropriations and other non Cipfa Sub Group Accounts,2015-08-04,3035205,2504.45,99999,Sundry Supplier
Flood Alleviation Schemes,A143,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,2015-01-05,3035391,15021.69,99999,Sundry Supplier
Flood Alleviation Schemes,A143,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,13/04/2015,3035221,588.6,99999,Sundry Supplier
CIF Grants 2014/15,A262,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,19/06/2015,3035723,6000,99999,Sundry Supplier
CIF Grants 2013/14,A257,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,19/06/2015,3035720,5488,99999,Sundry Supplier
CIF Grants 2013/14,A257,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,19/06/2015,3035721,5000,99999,Sundry Supplier
CIF Grants 2014/15,A262,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,19/06/2015,3035711,7000,99999,Sundry Supplier
CIF Grants 2014/15,A262,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,19/06/2015,3035712,8000,99999,Sundry Supplier
CIF Grants 2014/15,A262,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,19/06/2015,3035724,5999,99999,Sundry Supplier
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2015-03-06,3035593,514.05,99999,Sundry Supplier
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2015-03-06,3035593,800.1,99999,Sundry Supplier
Flood Alleviation Schemes,A143,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,2015-05-06,3035590,1870.6,99999,Sundry Supplier
Town Centre Initiatives,X197,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,2015-11-06,3035638,763.2,99999,Sundry Supplier
Flood Alleviation Schemes,A143,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,2015-01-06,3035571,5000,99999,Sundry Supplier
Flood Alleviation Schemes,A143,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,2015-01-06,3035572,5000,99999,Sundry Supplier
Flood Alleviation Schemes,A143,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,2015-01-06,3035573,5000,99999,Sundry Supplier
Flood Alleviation Schemes,A143,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,2015-01-06,3035577,5000,99999,Sundry Supplier
Flood Alleviation Schemes,A143,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,29/04/2015,3035380,1290,99999,Sundry Supplier
Flood Alleviation Schemes,A143,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,2015-12-05,3035418,4671.98,99999,Sundry Supplier
Flood Alleviation Schemes,A143,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,2015-06-05,3035410,588.6,99999,Sundry Supplier
Flood Alleviation Schemes,A143,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,2015-06-05,3035405,5000,99999,Sundry Supplier
Flood Alleviation Schemes,A143,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,2015-06-05,3035411,2040,99999,Sundry Supplier
Flood Alleviation Schemes,A143,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,21/05/2015,3035538,5000,99999,Sundry Supplier
Flood Alleviation Schemes,A143,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,21/05/2015,3035537,5000,99999,Sundry Supplier
Flood Alleviation Schemes,A143,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,27/04/2015,3035367,5000,99999,Sundry Supplier
Flood Alleviation Schemes,A143,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,2015-08-06,3035608,5000,99999,Sundry Supplier
Bank A/c,X200,Cash Interface suspense,Appropriations and other non Cipfa Sub Group Accounts,22/06/2015,3035739,2307.4,99999,Sundry Supplier
Flood Alleviation Schemes,A143,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,24/06/2015,3035754,3881,99999,Sundry Supplier
Flood Alleviation Schemes,A143,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,24/06/2015,3035744,5000,99999,Sundry Supplier
Flood Alleviation Schemes,A143,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,24/06/2015,3035755,5000,99999,Sundry Supplier
Flood Alleviation Schemes,A143,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,24/06/2015,3035745,5000,99999,Sundry Supplier
Flood Alleviation Schemes,A143,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,24/06/2015,3035746,5000,99999,Sundry Supplier
Flood Alleviation Schemes,A143,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,30/06/2015,3035794,5000,99999,Sundry Supplier
Flood Alleviation Schemes,A143,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,30/06/2015,3035791,5000,99999,Sundry Supplier
Flood Alleviation Schemes,A143,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,30/06/2015,3035795,5000,99999,Sundry Supplier
,,,,,, ,,
Accountancy,AC01,Advertising,Supplies & Services,2015-09-09,623739,806.14,10034,ALEXANDER ADVERTISING INT LTD
Democratic Team - Vale Recharges,DM10,Salaries Basic Pay,Employees,2015-02-09,1004813,"2,288.50",10057,The Association of Electoral Administrators
Elections,EL01,Salaries Basic Pay,Employees,2015-02-09,1004813,"1,144.25",10057,The Association of Electoral Administrators
Electoral Registration,RE01,Salaries Basic Pay,Employees,2015-02-09,1004813,"1,144.25",10057,The Association of Electoral Administrators
District & Parish elections,EL02,Fees and hired services,Supplies & Services,2015-12-08,624150,"10,335.60",10057,The Association of Electoral Administrators
District & Parish elections,EL02,Fees and hired services,Supplies & Services,2015-12-08,624151,"24,536.38",10057,The Association of Electoral Administrators
Car Park Operations,CP99,Communications - Postages,Supplies & Services,21/08/2015,624199,861.75,10084,Bemrose Booth
Car Park Operations,CP99,Materials & consumables,Supplies & Services,31/07/2015,1004628,528.75,10084,Bemrose Booth
Car Park Operations,CP99,Materials & consumables,Supplies & Services,16/07/2015,623605,972.5,10084,Bemrose Booth
Car Park Operations,CP99,Communications - Postages,Supplies & Services,2015-10-07,623820,565.5,10084,Bemrose Booth
Car Park Operations,CP99,Materials & consumables,Supplies & Services,2015-10-07,623820,916.5,10084,Bemrose Booth
Car Park Operations,CP99,Materials & consumables,Supplies & Services,2015-10-07,623821,"2,238.60",10084,Bemrose Booth
Car Park Operations,CP99,Materials & consumables,Supplies & Services,21/09/2015,3036668,-787.5,10084,Bemrose Booth
CIF Grants 2014/15,A262,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,18/09/2015,3036670,"1,017.00",10093,Bix and Assendon Parish Council
Telecommunications,CE70,Communications - Telephones & Fax,Supplies & Services,21/09/2015,3036672,"1,944.97",10113,BT Plc
Telecommunications,CE70,Communications - Telephones & Fax,Supplies & Services,22/09/2015,3036677,"3,442.73",10113,BT Plc
Revenues Client,RB04,Court costs,Supplies & Services,16/09/2015,3036644,735,10129,Capita Business Services
Election Team - VALE Recharges,EL10,Other expenses,Supplies & Services,20/08/2015,3036324,"2,151.90",10129,Capita Business Services
Electoral Registration,RE01,Other expenses,Supplies & Services,20/08/2015,3036324,"2,151.90",10129,Capita Business Services
Electoral Registration,RE01,Other expenses,Supplies & Services,2015-11-08,1004698,"9,364.00",10129,Capita Business Services
Electoral Registration,RE01,Other expenses,Supplies & Services,2015-12-08,624148,"1,425.00",10129,Capita Business Services
Garden Waste Scheme,RY03,Capita Contract,Third Party Payments,22/07/2015,623938,"3,482.41",10129,Capita Business Services
Benefits Admin,RB05,Capita Contract,Third Party Payments,25/08/2015,624236,"81,321.62",10129,Capita Business Services
Cash Office,ES01,Capita Contract,Third Party Payments,25/08/2015,624236,"2,179.52",10129,Capita Business Services
Accounts Payable,ES02,Capita Contract,Third Party Payments,25/08/2015,624236,"2,405.97",10129,Capita Business Services
General Ledger,AC02,Capita Contract,Third Party Payments,25/08/2015,624236,"4,516.34",10129,Capita Business Services
NNDR Admin,RB02,Capita Contract,Third Party Payments,25/08/2015,624236,"8,724.88",10129,Capita Business Services
Council Tax Admin,RB03,Capita Contract,Third Party Payments,25/08/2015,624236,"51,966.95",10129,Capita Business Services
Payroll,PY01,Capita Contract,Third Party Payments,25/08/2015,624236,"3,413.37",10129,Capita Business Services
Accounts Receivable,ES03,Capita Contract,Third Party Payments,25/08/2015,624236,"2,872.60",10129,Capita Business Services
Benefits Admin,RB05,Capita Contract,Third Party Payments,24/08/2015,1004769,"1,700.42",10129,Capita Business Services
Benefits Admin,RB05,Capita Contract,Third Party Payments,2015-08-09,1004839,"1,700.42",10129,Capita Business Services
Benefits Admin,RB05,Capita Contract,Third Party Payments,2015-08-09,1004840,"81,321.62",10129,Capita Business Services
Accounts Receivable,ES03,Capita Contract,Third Party Payments,2015-08-09,1004840,"2,872.60",10129,Capita Business Services
Accounts Payable,ES02,Capita Contract,Third Party Payments,2015-08-09,1004840,"2,405.97",10129,Capita Business Services
Cash Office,ES01,Capita Contract,Third Party Payments,2015-08-09,1004840,"2,179.52",10129,Capita Business Services
General Ledger,AC02,Capita Contract,Third Party Payments,2015-08-09,1004840,"4,516.34",10129,Capita Business Services
Payroll,PY01,Capita Contract,Third Party Payments,2015-08-09,1004840,"3,413.37",10129,Capita Business Services
Council Tax Admin,RB03,Capita Contract,Third Party Payments,2015-08-09,1004840,"51,966.95",10129,Capita Business Services
NNDR Admin,RB02,Capita Contract,Third Party Payments,2015-08-09,1004840,"8,724.88",10129,Capita Business Services
Garden Waste Scheme,RY03,Capita Contract,Third Party Payments,19/08/2015,624147,"-2,902.01",10129,Capita Business Services
Revenues Client,RB04,Capita Contract,Third Party Payments,16/09/2015,3036646,"17,488.84",10129,Capita Business Services
Benefits Admin,RB05,Capita Contract,Third Party Payments,25/09/2015,624192,"9,716.40",10129,Capita Business Services
Universal Credit,US01,Capita Contract,Third Party Payments,25/09/2015,624193,"2,619.00",10129,Capita Business Services
Revenues Client,RB04,Capita Contract,Third Party Payments,14/08/2015,3036323,"11,782.55",10129,Capita Business Services
Garden Waste Scheme,RY03,Capita Contract,Third Party Payments,15/09/2015,624345,"3,482.41",10129,Capita Business Services
Garden Waste Scheme,RY03,Capita Contract,Third Party Payments,26/08/2015,624237,"3,482.41",10129,Capita Business Services
Benefits Admin,RB05,Capita Contract,Third Party Payments,2015-09-09,1004851,"1,700.42",10129,Capita Business Services
General Ledger,AC02,Capita Contract,Third Party Payments,2015-09-09,1004850,"4,410.49",10129,Capita Business Services
Customer Contact (Was Contact Centre),CZ01,Capita Contract,Third Party Payments,2015-09-09,1004849,"2,941.56",10129,Capita Business Services
Customer Contact (Was Contact Centre),CZ01,Capita Contract,Third Party Payments,2015-09-09,1004849,"1,976.47",10129,Capita Business Services
NNDR Admin,RB02,Capita Contract,Third Party Payments,2015-09-09,1004850,"8,520.39",10129,Capita Business Services
Payroll,PY01,Capita Contract,Third Party Payments,2015-09-09,1004850,"3,333.37",10129,Capita Business Services
Accounts Receivable,ES03,Capita Contract,Third Party Payments,2015-09-09,1004850,"2,805.27",10129,Capita Business Services
Cash Office,ES01,Capita Contract,Third Party Payments,2015-09-09,1004850,"2,128.44",10129,Capita Business Services
Accounts Payable,ES02,Capita Contract,Third Party Payments,2015-09-09,1004850,"2,349.58",10129,Capita Business Services
Council Tax Admin,RB03,Capita Contract,Third Party Payments,2015-09-09,1004850,"50,748.97",10129,Capita Business Services
Benefits Admin,RB05,Capita Contract,Third Party Payments,2015-09-09,1004850,"79,415.64",10129,Capita Business Services
Customer Contact (Was Contact Centre),CZ01,Capita Contract,Third Party Payments,2015-09-09,624344,"2,023.81",10129,Capita Business Services
Customer Contact (Was Contact Centre),CZ01,Capita Contract,Third Party Payments,2015-09-09,624344,"3,012.16",10129,Capita Business Services
CCTV,TV01,Maintenance contracts,Supplies & Services,15/07/2015,623856,"4,128.00",10140,COMPUTERISED and DIGITAL SECURITY SYSTEMS LTD
Computer Administration,CE99,Agency staff,Employees,17/09/2015,3036561,"2,476.52",10148,Champion Recruitment
Computer Administration,CE99,Agency staff,Employees,17/09/2015,3036530,"1,027.50",10148,Champion Recruitment
Computer Administration,CE99,Agency staff,Employees,17/09/2015,3036532,"1,117.50",10148,Champion Recruitment
Computer Administration,CE99,Agency staff,Employees,17/09/2015,3036573,"3,714.78",10148,Champion Recruitment
Computer Administration,CE99,Agency staff,Employees,17/09/2015,3036543,"1,012.50",10148,Champion Recruitment
Computer Administration,CE99,Agency staff,Employees,17/09/2015,3036539,"1,238.26",10148,Champion Recruitment
Computer Administration,CE99,Agency staff,Employees,17/09/2015,3036549,"2,208.75",10148,Champion Recruitment
Recharges to Vale,RC10,Agency staff,Employees,2015-10-09,3036558,731.86,10148,Champion Recruitment
Elections,EL01,Agency staff,Employees,2015-10-09,3036552,"1,395.47",10148,Champion Recruitment
DC - Vale Recharges,DN10,Agency staff,Employees,2015-10-09,3036528,954.39,10148,Champion Recruitment
DC - Vale Recharges,DN10,Agency staff,Employees,2015-10-09,3036571,593.85,10148,Champion Recruitment
Development Management,DN01,Agency staff,Employees,2015-10-09,3036571,593.85,10148,Champion Recruitment
Development Management,DN01,Agency staff,Employees,2015-10-09,3036571,593.85,10148,Champion Recruitment
Recharges to Vale,RC10,Agency staff,Employees,2015-10-09,3036570,657.68,10148,Champion Recruitment
Refuse Collection Contract,RC01,Agency staff,Employees,2015-10-09,3036558,731.86,10148,Champion Recruitment
Refuse Collection Contract,RC01,Agency staff,Employees,2015-10-09,3036570,657.69,10148,Champion Recruitment
Development Management,DN01,Agency staff,Employees,2015-10-09,3036534,808.51,10148,Champion Recruitment
Development Management,DN01,Agency staff,Employees,2015-10-09,3036535,"2,125.32",10148,Champion Recruitment
Development Management,DN01,Agency staff,Employees,2015-10-09,3036536,"1,757.95",10148,Champion Recruitment
Development Management,DN01,Agency staff,Employees,2015-10-09,3036546,"1,409.33",10148,Champion Recruitment
Development Management,DN01,Agency staff,Employees,2015-10-09,3036547,"1,367.52",10148,Champion Recruitment
Development Management,DN01,Agency staff,Employees,2015-10-09,3036550,"1,112.63",10148,Champion Recruitment
Accountancy,AC01,Agency staff,Employees,2015-10-09,3036545,733.71,10148,Champion Recruitment
Development Management,DN01,Agency staff,Employees,2015-10-09,3036565,"1,463.72",10148,Champion Recruitment
Development Management,DN01,Agency staff,Employees,2015-10-09,3036566,"1,248.51",10148,Champion Recruitment
Development Management,DN01,Agency staff,Employees,2015-10-09,3036567,"1,097.79",10148,Champion Recruitment
Corporate Development General,CT01,Salaries Basic Pay,Employees,15/07/2015,3035668,"1,209.63",10148,Champion Recruitment
Corporate Development General,CT01,Salaries Basic Pay,Employees,2015-10-09,3036556,"1,644.99",10148,Champion Recruitment
Corporate Development General,CT01,Salaries Basic Pay,Employees,2015-10-09,3036569,"1,258.85",10148,Champion Recruitment
Development Management,DN01,Agency staff,Employees,2015-11-09,3036538,593.85,10148,Champion Recruitment
Development Management,DN01,Agency staff,Employees,2015-11-09,3036538,593.85,10148,Champion Recruitment
Development Management,DN01,Agency staff,Employees,2015-11-09,3036538,593.85,10148,Champion Recruitment
Didcot Growth Point Team,CA02,Agency staff,Employees,2015-11-09,3036537,"1,994.40",10148,Champion Recruitment
Didcot Growth Point Team,CA02,Agency staff,Employees,2015-11-09,3036555,"1,495.80",10148,Champion Recruitment
